Date,Anchor Text,Price
2024-08-14,"SAMSUNG Galaxy S24 Cell Phone, 128GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black, SM-S921UZKAXAA (Renewed)",$599.00
2024-08-14,"SAMSUNG Galaxy S24 Cell Phone, 128GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black, SM-S921UZKAXAA (Renewed)",$599.00
2024-08-14,SAMSUNG Galaxy s24 5G 128GB Phantom Black - Verizon (Renewed),$468.00
2024-08-14,SAMSUNG Galaxy S24 5G 256GB Factory Unlocked - Cobalt Violet (Renewed),$674.99
2024-08-14,"SAMSUNG Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black (Renewed)",N/A
2024-08-14,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Cobalt Violet (Renewed),$574.95
2024-08-14,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Onyx Black (Renewed),$579.95
2024-08-14,Samsung Galaxy S24 5G 128GB Factory Unlocked - Marble Gray (Renewed),$619.50
2024-08-14,SAMSUNG Galaxy S24 5G 256GB Factory Unlocked - Jade Green (Renewed),$679.99
2024-08-14,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Amber Yellow (Renewed),$572.00
2024-08-14,"SAMSUNG Galaxy S24 Cell Phone, 128GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black, SM-S921UZKAXAA (Renewed)",$599.00
2024-08-14,"SAMSUNG Galaxy S24 Cell Phone, 128GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black, SM-S921UZKAXAA (Renewed)",$599.00
2024-08-14,SAMSUNG Galaxy s24 5G 128GB Phantom Black - Verizon (Renewed),$468.00
2024-08-14,SAMSUNG Galaxy S24 5G 256GB Factory Unlocked - Cobalt Violet (Renewed),$674.99
2024-08-14,"SAMSUNG Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black (Renewed)",N/A
2024-08-14,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Cobalt Violet (Renewed),$574.95
2024-08-14,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Onyx Black (Renewed),$579.95
2024-08-14,SAMSUNG Galaxy S24 5G 256GB Factory Unlocked - Jade Green (Renewed),$679.99
2024-08-14,Samsung Galaxy S24 5G 128GB Factory Unlocked - Marble Gray (Renewed),$619.50
2024-08-14,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Amber Yellow (Renewed),$572.00
2024-08-14,"SAMSUNG Galaxy S24 Cell Phone, 128GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black, SM-S921UZKAXAA (Renewed)",$599.00
2024-08-14,"SAMSUNG Galaxy S24 Cell Phone, 128GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black, SM-S921UZKAXAA (Renewed)",$599.00
2024-08-14,SAMSUNG Galaxy s24 5G 128GB Phantom Black - Verizon (Renewed),$468.00
2024-08-14,SAMSUNG Galaxy S24 5G 256GB Factory Unlocked - Cobalt Violet (Renewed),$674.99
2024-08-14,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Cobalt Violet (Renewed),$574.95
2024-08-14,"Samsung Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Cobalt Violet (Renewed)",$659.99
2024-08-14,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Onyx Black (Renewed),$579.95
2024-08-14,SAMSUNG Galaxy S24 5G 256GB Factory Unlocked - Jade Green (Renewed),$679.99
2024-08-14,Samsung Galaxy S24 5G 128GB Factory Unlocked - Marble Gray (Renewed),$619.50
2024-08-14,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Amber Yellow (Renewed),$572.00
2024-08-15,"SAMSUNG Galaxy S24 Cell Phone, 128GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black, SM-S921UZKAXAA (Renewed)",$589.00
2024-08-15,"SAMSUNG Galaxy S24 Cell Phone, 128GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black, SM-S921UZKAXAA (Renewed)",$589.00
2024-08-15,SAMSUNG Galaxy s24 5G 128GB Phantom Black - Verizon (Renewed),$589.99
2024-08-15,SAMSUNG Galaxy S24 5G 256GB Factory Unlocked - Cobalt Violet (Renewed),$674.99
2024-08-15,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Cobalt Violet (Renewed),$574.95
2024-08-15,"Samsung Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Cobalt Violet (Renewed)",$659.99
2024-08-15,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Onyx Black (Renewed),$579.95
2024-08-15,SAMSUNG Galaxy S24 5G 256GB Factory Unlocked - Jade Green (Renewed),$679.99
2024-08-15,Samsung Galaxy S24 5G 128GB Factory Unlocked - Marble Gray (Renewed),$619.50
2024-08-15,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Amber Yellow (Renewed),$572.00
2024-08-17,"SAMSUNG Galaxy S24 Cell Phone, 128GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black, SM-S921UZKAXAA (Renewed)",$565.00
2024-08-17,"SAMSUNG Galaxy S24 Cell Phone, 128GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black, SM-S921UZKAXAA (Renewed)",$565.00
2024-08-17,SAMSUNG Galaxy s24 5G 128GB Phantom Black - Verizon (Renewed),$589.99
2024-08-17,SAMSUNG Galaxy S24 5G 256GB Factory Unlocked - Cobalt Violet (Renewed),$668.50
2024-08-17,"Samsung Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Cobalt Violet (Renewed)",$659.99
2024-08-17,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Cobalt Violet (Renewed),$574.95
2024-08-17,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Onyx Black (Renewed),$579.70
2024-08-17,Generic SAMSUNG Galaxy S24 5G 128GB Marble Gray - TMobile (Renewed),$629.99
2024-08-17,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Amber Yellow (Renewed),$572.00
2024-08-17,Samsung Galaxy S24 5G 128GB Factory Unlocked - Marble Gray (Renewed),$619.50
2024-08-17,SAMSUNG Galaxy S24 5G 256GB Factory Unlocked - Jade Green (Renewed),$679.99
2024-08-18,"SAMSUNG Galaxy S24 Cell Phone, 128GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black, SM-S921UZKAXAA (Renewed)",719.99
2024-08-18,"SAMSUNG Galaxy S24 Cell Phone, 128GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black, SM-S921UZKAXAA (Renewed)",563.0
2024-08-18,SAMSUNG Galaxy s24 5G 128GB Phantom Black - Verizon (Renewed),589.99
2024-08-18,SAMSUNG Galaxy S24 5G 256GB Factory Unlocked - Cobalt Violet (Renewed),668.5
2024-08-18,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Cobalt Violet (Renewed),574.95
2024-08-18,"Samsung Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Cobalt Violet (Renewed)",659.99
2024-08-18,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Onyx Black (Renewed),557.3
2024-08-18,Generic SAMSUNG Galaxy S24 5G 128GB Marble Gray - TMobile (Renewed),629.99
2024-08-18,SAMSUNG Galaxy S24 5G 128GB Factory Unlocked - Amber Yellow (Renewed),570.0
2024-08-18,Samsung Galaxy S24 5G 128GB Factory Unlocked - Marble Gray (Renewed),619.5
